Iteration	Replicate_ID	Posterior	Likelihood	Prior	mass_extinction_probabilities[1]	mass_extinction_probabilities[2]	mass_extinction_probabilities[3]	mass_extinction_probabilities[4]	mass_extinction_probabilities[5]	mass_extinction_probabilities[6]	mass_extinction_probabilities[7]	mass_extinction_probabilities[8]	mass_extinction_probabilities[9]
297	1	-111.5179	-101.2913	-10.22656	0	0	0	0	0	0	0	0	0
298	0	-136.244	-100.3087	-35.93521	0.86699	0	0	0	0	0	0	0	0
299	1	-124.4007	-101.2855	-23.11514	0	0	0	0	0	0	0	0	0
300	0	-109.9176	-97.2232	-12.69439	0.919321	0	0	0	0.957543	0	0	0	0
301	1	-53.24683	-104.9908	51.74396	0	0	0	0	0	0	0	0	0
302	0	-96.51666	-95.35254	-1.164119	0.878677	0	0	0	0.906521	0	0	0	0
303	1	-50.45315	-106.9843	56.53111	0	0	0	0	0	0	0	0	0
304	0	-79.41308	-97.58944	18.17635	0.833771	0	0	0	0	0	0	0	0
305	1	-138.1297	-104.6919	-33.43781	0	0	0	0	0	0	0	0	0
306	0	-133.6715	-100.4583	-33.21314	0	0.752243	0	0	0.867494	0	0	0	0
307	1	-70.96202	-99.20895	28.24693	0	0.812296	0	0	0	0	0	0	0
308	0	-94.2594	-100.1911	5.931654	0	0.797889	0	0	0	0	0	0	0
309	1	-120.2751	-101.5977	-18.67738	0	0	0	0	0	0	0	0	0
310	0	-125.4767	-101.7103	-23.76637	0	0	0	0	0	0	0	0	0
311	1	-131.4522	-99.4157	-32.03651	0	0	0	0	0	0	0	0	0
312	0	-122.6329	-102.4056	-20.22729	0	0	0	0	0	0	0	0	0
313	1	-78.45604	-103.2602	24.80417	0	0	0	0	0	0	0	0	0
314	0	-62.53353	-100.4242	37.89066	0	0	0	0	0	0	0	0	0
315	1	-70.91826	-97.0591	26.14085	0.851752	0	0	0	0.831648	0	0	0	0
316	0	-89.91596	-103.7987	13.88277	0	0	0	0	0	0	0	0	0
