Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction_rate	fossilization_rate	speciation_rate
301	1	-100.1126	-104.8651	4.752473	0.01196675	9.519486e-05	0.1093294
302	0	-101.3241	-106.4824	5.158277	0.009094234	0.003291084	0.06857249
303	1	-100.2547	-105.4203	5.165591	0.002216866	0.001850068	0.06869801
304	0	-104.4939	-108.735	4.241113	0.07724776	0.0004073423	0.1151293
305	1	-100.986	-105.7621	4.776107	0.02550988	0.00133751	0.102053
306	0	-99.38668	-104.3167	4.929975	0.001566737	0.0008193821	0.09295105
307	1	-102.1565	-106.7987	4.642131	0.02940034	0.003967179	0.1133612
308	0	-101.0461	-105.9562	4.9101	0.02605855	0.0007471598	0.08837197
309	1	-107.2579	-112.4227	5.164783	0.02952629	0.01091858	0.05832287
310	0	-102.8592	-107.3955	4.53638	0.005547321	0.005115016	0.132219
311	1	-101.6675	-106.2992	4.631691	0.002607585	0.00367931	0.1227801
312	0	-100.1019	-105.1265	5.02461	0.006504925	0.002263668	0.08295781
313	1	-101.9005	-106.8608	4.960329	0.003874191	0.009594902	0.08886169
314	0	-101.1459	-106.2299	5.083979	0.002430055	0.006579234	0.07685128
315	1	-101.2209	-105.9069	4.686038	0.005712438	0.003297696	0.1170201
316	0	-101.5409	-106.5459	5.005011	0.008077521	0.007106281	0.08425768
317	1	-100.3542	-105.1764	4.822204	0.02075019	0.0002176238	0.09954957
318	0	-100.8798	-105.9285	5.048671	0.019504	0.0003098991	0.07714846
319	1	-100.4446	-105.1826	4.73806	0.01636569	0.0006163805	0.1095466
320	0	-100.415	-105.3505	4.935585	0.01618239	0.001324125	0.08980595
321	1	-103.6285	-108.3948	4.76628	0.01110907	0.01299426	0.1064613
322	0	-102.0143	-106.4777	4.463416	0.03614458	0.0009042497	0.1276446
323	1	-99.92973	-104.8726	4.942918	0.004980504	0.002184352	0.09138743
324	0	-100.7068	-105.4371	4.730269	0.009631917	0.002061626	0.1120196
325	1	-101.2486	-106.4672	5.218597	0.009859987	0.0003188594	0.06193951
326	0	-101.9418	-106.6558	4.713974	0.03760244	0.001725231	0.1013338
327	1	-102.1983	-106.818	4.619731	0.004028142	0.00524839	0.1237632
328	0	-101.2502	-106.062	4.811793	0.02034584	0.003362815	0.1006376
329	1	-101.8473	-106.5571	4.709781	0.01466917	0.005323875	0.1126264
330	0	-100.9257	-105.9006	4.974894	0.02333008	0.0003986871	0.08310375
331	1	-101.0894	-106.2411	5.151772	0.01484815	0.0001133531	0.06792982
332	0	-101.2825	-106.0393	4.756764	0.005305237	0.005012547	0.1097921
333	1	-101.7973	-106.4942	4.696848	0.01962788	0.004463041	0.1123507
334	0	-99.90812	-104.8386	4.930477	0.009983681	0.001034055	0.09192652
335	1	-101.6945	-106.3483	4.653759	0.0269118	0.002820536	0.1135761
336	0	-100.454	-105.3199	4.865916	0.02195204	0.0002577644	0.09468468
337	1	-100.1284	-104.9363	4.807891	0.001375667	0.002133767	0.1051347
338	0	-101.8651	-106.7347	4.869644	0.03024534	0.002545738	0.09018653
339	1	-101.7631	-106.5603	4.797244	0.01552899	0.005938941	0.1035273
340	0	-102.3338	-107.6413	5.307531	0.006942288	0.0002605024	0.05216223
341	1	-101.2634	-106.4486	5.18522	0.004976231	0.003864453	0.06624329
342	0	-103.4543	-108.6472	5.192883	0.003334618	0.01183449	0.06419789
343	1	-100.4839	-105.4049	4.921037	0.00365332	0.004362261	0.09355408
344	0	-102.273	-106.6762	4.403191	0.02826684	0.000452883	0.1387056
345	1	-101.8446	-106.331	4.486347	0.04291154	6.797135e-05	0.1205741
346	0	-102.597	-107.0628	4.465757	0.033645	0.002929982	0.1289265
347	1	-99.50971	-104.3624	4.852675	0.000520018	0.0006649119	0.1007113
348	0	-100.2256	-104.9456	4.720079	0.006037347	0.0004258896	0.1136507
