Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
386	0	-45.42571	0	-45.42571	0.007018908
387	1	371.0208	0	371.0208	9.992068e-05
388	0	-45.47274	0	-45.47274	0.007115755
389	1	371.3742	0	371.3742	0.0001045885
390	0	-46.66045	0	-46.66045	0.008036366
391	1	371.4689	0	371.4689	0.0001131478
392	0	-45.54087	0	-45.54087	0.00721778
393	1	371.5073	0	371.5073	0.0001102494
394	0	-46.30049	0	-46.30049	0.00783373
395	1	371.0156	0	371.0156	0.0001216684
396	0	-45.51639	0	-45.51639	0.006493017
397	1	370.7139	0	370.7139	9.733684e-05
398	0	-45.46716	0	-45.46716	0.007105918
399	1	371.5022	0	371.5022	0.0001089449
400	0	-45.46716	0	-45.46716	0.007105918
401	1	371.2759	0	371.2759	0.0001178537
402	0	-45.7575	0	-45.7575	0.00744651
403	1	370.4689	0	370.4689	9.567011e-05
404	0	-46.0178	0	-46.0178	0.006117644
405	1	371.0307	0	371.0307	0.0001000183
406	0	-46.06318	0	-46.06318	0.007681746
407	1	371.2655	0	371.2655	0.0001180354
408	0	-46.1912	0	-46.1912	0.007766062
409	1	371.2687	0	371.2687	0.0001179799
410	0	-45.47752	0	-45.47752	0.006546237
411	1	371.4439	0	371.4439	0.000114051
412	0	-45.44649	0	-45.44649	0.007066246
413	1	371.4534	0	371.4534	0.0001137321
414	0	-45.43752	0	-45.43752	0.006615975
415	1	371.1705	0	371.1705	0.0001015332
416	0	-45.87793	0	-45.87793	0.006195958
417	1	371.3622	0	371.3622	0.0001043568
418	0	-48.48056	0	-48.48056	0.008837619
419	1	371.2755	0	371.2755	0.0001029196
420	0	-45.7912	0	-45.7912	0.007475792
421	1	371.4994	0	371.4994	0.0001086761
422	0	-45.39024	0	-45.39024	0.006774516
423	1	371.4994	0	371.4994	0.0001086761
424	0	-46.09077	0	-46.09077	0.007700439
425	1	371.4587	0	371.4587	0.0001135451
426	0	-46.60653	0	-46.60653	0.005867418
427	1	369.302	0	369.302	0.0001366581
428	0	-45.64957	0	-45.64957	0.006357644
429	1	371.5046	0	371.5046	0.000109229
430	0	-45.42941	0	-45.42941	0.006633385
431	1	371.2884	0	371.2884	0.0001031134
432	0	-45.38794	0	-45.38794	0.006852625
433	1	371.3562	0	371.3562	0.0001042451
434	0	-45.56001	0	-45.56001	0.007242348
435	1	371.1606	0	371.1606	0.000101415
436	0	-46.05817	0	-46.05817	0.007678311
437	1	370.8832	0	370.8832	0.0001232529
438	0	-45.57269	0	-45.57269	0.007257944
439	1	370.6571	0	370.6571	9.692613e-05
440	0	-45.41329	0	-45.41329	0.006674179
441	1	371.4853	0	371.4853	0.0001077809
442	0	-45.54013	0	-45.54013	0.007216798
443	1	371.4368	0	371.4368	0.0001142742
444	0	-45.58906	0	-45.58906	0.006412939
445	1	371.0204	0	371.0204	0.0001216073
446	0	-45.93225	0	-45.93225	0.007588205
447	1	370.4236	0	370.4236	0.0001278842
448	0	-47.80445	0	-47.80445	0.005527803
449	1	370.4236	0	370.4236	0.0001278842
450	0	-45.41684	0	-45.41684	0.006664264
451	1	370.2776	0	370.2776	0.0001291773
452	0	-46.23518	0	-46.23518	0.006013679
453	1	371.4891	0	371.4891	0.0001079846
454	0	-46.1633	0	-46.1633	0.007748193
455	1	370.841	0	370.841	0.0001237269
456	0	-45.62518	0	-45.62518	0.006378994
457	1	371.1071	0	371.1071	0.0001008091
458	0	-45.40193	0	-45.40193	0.006711779
459	1	371.2104	0	371.2104	0.0001020268
460	0	-45.64177	0	-45.64177	0.007335487
461	1	371.5072	0	371.5072	0.0001102866
462	0	-46.57917	0	-46.57917	0.005877203
463	1	370.5809	0	370.5809	0.0001264114
464	0	-46.10943	0	-46.10943	0.007712913
465	1	371.0617	0	371.0617	0.0001210745
466	0	-45.46113	0	-45.46113	0.007094898
467	1	371.4646	0	371.4646	0.00010691
468	0	-45.42513	0	-45.42513	0.006643285
469	1	370.2868	0	370.2868	0.0001290973
470	0	-45.38829	0	-45.38829	0.006858324
471	1	371.4857	0	371.4857	0.0001077999
472	0	-45.38829	0	-45.38829	0.006858324
473	1	371.4313	0	371.4313	0.000114438
474	0	-45.86841	0	-45.86841	0.006201725
475	1	369.4421	0	369.4421	9.049779e-05
476	0	-45.49524	0	-45.49524	0.00652072
477	1	370.6859	0	370.6859	0.0001253711
478	0	-46.12542	0	-46.12542	0.006063954
479	1	371.5074	0	371.5074	0.0001099633
480	0	-46.14923	0	-46.14923	0.00773908
481	1	371.4346	0	371.4346	0.0001059775
482	0	-45.58279	0	-45.58279	0.006419156
483	1	371.4346	0	371.4346	0.0001059775
484	0	-46.31677	0	-46.31677	0.007843518
485	1	371.1065	0	371.1065	0.0001008025
486	0	-45.48001	0	-45.48001	0.006542497
487	1	371.3953	0	371.3953	0.0001050267
488	0	-46.13442	0	-46.13442	0.007729408
489	1	371.4672	0	371.4672	0.0001070057
490	0	-46.49094	0	-46.49094	0.007944248
491	1	371.2761	0	371.2761	0.0001029295
492	0	-45.38789	0	-45.38789	0.006851617
493	1	370.9567	0	370.9567	0.0001223935
