Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
107	1	-74.33104	-87.1033	12.77226	0	1	1	1	0.009202716	0.0008670641	0.002734322	0.002734322	0.0443617	0.0443617	0.01185129	0.01185129	0.167599	0.479186	0.272454	0.0807601
108	0	-81.49935	-93.15011	11.65076	1	1	1	1	0.002965421	0.002965421	0.004246784	0.004246784	0.02857762	0.02857762	0.01010518	0.01010518	0.0281981	0.0175597	0.0805701	0.873672
109	1	-75.28615	-87.44896	12.16281	0	1	1	1	0.01375435	0.0007562025	0.002484174	0.002484174	0.04312693	0.04312693	0.01238154	0.01238154	0.311698	0.031402	0.506705	0.150196
110	0	-77.84998	-93.22073	15.37075	1	1	1	0	0.002895019	0.002895019	0.004246784	0.004246784	0.0318384	0.0318384	0.007874297	0.007299084	0.278467	0.131472	0.342613	0.247448
111	1	-74.86936	-87.79198	12.92262	0	1	1	1	0.01284141	0.0007009031	0.00227449	0.00227449	0.04312693	0.04312693	0.009213322	0.009213322	0.382604	0.0589197	0.516588	0.0418889
112	0	-67.22785	-93.05886	25.83101	0	1	0	0	0.003305761	0.001016072	0.003657515	0.003657515	0.02824137	0.001063127	0.008904953	0.007205685	0.167896	0.36828	0.31463	0.149194
113	1	-66.42813	-88.67216	22.24403	0	0	1	0	0.01376596	0.0006337216	0.00227449	0.005865356	0.04194452	0.04194452	0.009213322	0.0002148515	0.135051	0.103379	0.377464	0.384105
114	0	-76.73251	-90.97503	14.24251	0	1	1	1	0.003449402	0.003018809	0.004273448	0.004273448	0.04096055	0.04096055	0.008904953	0.008904953	0.144232	0.45732	0.270283	0.128166
115	1	-68.37988	-89.83133	21.45145	0	0	0	1	0.01376596	0.0009656816	0.002239765	0.009117751	0.03882973	0.001459067	0.0120679	0.0120679	0.0814637	0.109784	0.40085	0.407902
116	0	-71.28682	-90.35094	19.06412	0	1	1	0	0.00554901	0.003190916	0.004273448	0.004273448	0.03493881	0.03493881	0.01198064	0.002631564	0.148025	0.469348	0.297907	0.0847197
117	1	-73.06351	-90.73085	17.66734	0	1	0	1	0.01376596	0.0006554723	0.00362884	0.00362884	0.03061331	0.006742186	0.0151483	0.0151483	0.0817884	0.106236	0.402448	0.409528
118	0	-75.76117	-91.12285	15.36168	0	1	0	1	0.007547378	0.00912234	0.003285608	0.003285608	0.04659355	0.0003030611	0.01689064	0.01689064	0.140331	0.577026	0.218878	0.0637655
119	1	-74.90285	-89.15587	14.25301	0	0	1	1	0.01376596	0.0006686567	0.003293035	0.01400676	0.03971008	0.03971008	0.01863975	0.01863975	0.0343234	0.0445831	0.749231	0.171863
120	0	-71.43816	-87.35951	15.92135	0	1	1	0	0.007320003	0.00432821	0.001335539	0.001335539	0.04457556	0.04457556	0.02026311	0.00271882	0.181949	0.451582	0.283792	0.0826768
121	1	-70.31032	-89.33072	19.02041	0	0	0	1	0.01376596	0.0005511961	0.002683616	0.0001777812	0.03418381	0.01692054	0.02406866	0.02406866	0.0682886	0.088701	0.501078	0.341932
122	0	-70.78267	-86.95144	16.16877	0	0	1	1	0.008868449	0.001307035	0.002110397	0.002001407	0.04457556	0.04457556	0.02026311	0.02026311	0.32017	0.390598	0.245467	0.0437651
123	1	-71.38976	-89.52735	18.13759	0	1	0	1	0.005944339	0.0007007275	0.002683616	0.002683616	0.02714642	0.01264339	0.0187457	0.0187457	0.0727671	0.0945182	0.53394	0.298775
124	0	-76.78238	-86.61796	9.835577	0	1	1	1	0.007054022	0.001806354	0.001870116	0.001870116	0.05202203	0.05202203	0.02306261	0.02306261	0.32017	0.390598	0.245467	0.0437651
125	1	-70.16846	-89.46	19.29154	1	0	1	0	0.005128494	0.005128494	0.002116935	0.002065917	0.03288501	0.03288501	0.0187457	0.0003214615	0.0739945	0.0792445	0.542947	0.303814
126	0	-66.61718	-89.74406	23.12688	0	1	0	0	0.01215494	0.001971934	0.001884952	0.001884952	0.03354513	0.0003320435	0.01603668	0.002936604	0.32017	0.390598	0.245467	0.0437651
127	1	-66.15692	-87.31981	21.16289	0	0	0	0	0.003521655	9.235208e-05	0.002945685	0.002180606	0.08244421	0.002866222	0.01526137	0.0003214615	0.137737	0.0947195	0.202008	0.565536
